Tweet,Subjectivity,Label,Sentiment Polarity
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
RT @mashable: Japan leaves touching thank you note and a spotless locker room after World Cup loss https://t.co/VvbPGEQ0Bi https://t.co/ymO…,0.5,Positive,0.5
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/XgB9dYAlzm htt…",0.4666666666666666,Negative,-0.011111111111111108
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
"RT @ShashiTharoor: Despite losing to Belgium, the Japanese team cleaned their dressing-room &amp; left a thank-you note to their Russian hosts.…",0.0,Negative,0.0
RT @Radio2000ZA: Japan were eliminated from World Cup play on Monday. But the crushing defeat by Belgium didn't stop the Japanese national…,0.45,Positive,0.2
Japan soccer team leaves behind spotless locker https://t.co/1wLUeUT4yG,0.7,Negative,-0.4
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
RT @WalshU_Soccer: Japan was eliminated from the World Cup today in a game where they were leading 2-0. Despite their heartbreak they took…,0.4,Negative,-0.4
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/OEUreo4OJ8 htt…",0.4666666666666666,Negative,-0.011111111111111108
RT @ajplus: An octopus that successfully predicted the winners of Japan's World Cup group matches was sent to the market to be sold as food…,0.95,Positive,0.75
"RT @PidginFeed: World Cup 2018: Dem don kill octopus wey bin predict Japan results - https://t.co/oiQXhT1Qac Di fisherman wey catch Rabio,…",0.0,Negative,0.0
Japan's soccer team had the classiest response to its World Cup defeat - https://t.co/xDlaFU8dw6 https://t.co/DcOgA6lula,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/qKuuzI9rab The World Cup Of Wrestling - Japan Vs Australia - Episode 20 - WWE 2K18,0.0,Negative,0.0
The World Cup Of Wrestling - Japan Vs Australia - Episode 20 - WWE 2K18: https://t.co/qKuuzI9rab via @YouTube,0.0,Negative,0.0
RT @ajplus: An octopus that successfully predicted the winners of Japan's World Cup group matches was sent to the market to be sold as food…,0.95,Positive,0.75
"RT @CNN: After defeat, Japan's World Cup team left behind a spotlessly clean locker room and a 'thank you' note https://t.co/MBnEYGQxoH htt…",0.4666666666666666,Negative,-0.011111111111111108
Belgium come from two down to knock out Japan in the World Cup’s last 16 https://t.co/3NluLviYbA #WorldCup2018… https://t.co/GfVc0ztVgw,0.17777777777777778,Negative,-0.07777777777777779
RT @inyaari: all jump members watched belgium vs japan match in world cup 2018 together wow i bet yabu had to educate the others while watc…,1.0,Positive,0.1
From the London press... https://t.co/3Cgb9cJeVN,0.0,Negative,0.0
