Tweet,Subjectivity,Label,Sentiment Polarity
FIFA president Gianni Infantino has expressed his dismay that Africa failed to secure a place in the 2018 World Cup… https://t.co/4WZeUzoC9I,0.44999999999999996,Negative,-0.04999999999999999
RT @RuchirLModi: There are more ways than one to show love and loyalty to your favorite #sport! https://t.co/FVkabxlCXy,0.7000000000000001,Positive,0.5416666666666666
"RT @FTalentScout: Yerry Mina at the World Cup:

vs Poland ⚽️
vs Senegal ⚽️ 
vs England ⚽️

😱😱😱 https://t.co/wSJeogUbyg",0.0,Negative,0.0
RT @nytimes: Soccer is full of African players at the highest level. But there are just 2 African coaches at the World Cup: Senegal's Aliou…,0.18333333333333335,Positive,0.11666666666666665
"RT @FTalentScout: Yerry Mina at the World Cup:

vs Poland ⚽️
vs Senegal ⚽️ 
vs England ⚽️

😱😱😱 https://t.co/wSJeogUbyg",0.0,Negative,0.0
"Countries that deserved 'more' in the world cup

Argentina
Portugal
Iran
Mexico
Japan
Nigeria
Senegal 
Spain 

#WorldCupRussia2018",0.5,Positive,0.5
RT @alienearbud: @_AndyJacks @brewerhm @casas_jimmy @JessicaCabeen @willmelbye @SteeleThoughts @principalboots @Ryan_Ferrera @RyanBJackson1…,0.0,Negative,0.0
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
"RT @TweetingBandit: The racism among World Cup commentators; Spain are ""strategic"", Germans are ""tactical"", but somehow Senegal have ""physi…",0.0,Negative,0.0
"RT @TweetingBandit: The racism among World Cup commentators; Spain are ""strategic"", Germans are ""tactical"", but somehow Senegal have ""physi…",0.0,Negative,0.0
RT @alienearbud: @_AndyJacks @brewerhm @casas_jimmy @JessicaCabeen @willmelbye @SteeleThoughts @principalboots @Ryan_Ferrera @RyanBJackson1…,0.0,Negative,0.0
"RT @TweetingBandit: The racism among World Cup commentators; Spain are ""strategic"", Germans are ""tactical"", but somehow Senegal have ""physi…",0.0,Negative,0.0
"RT @colbie_medjom: #WorldCup 2018

Stories behind some goal's celebrations in the 2018 FIFA World Cup so far... Which one do you prefer ?…",0.85,Negative,-0.15000000000000002
"#WorldCup 2018

Stories behind some goal's celebrations in the 2018 FIFA World Cup so far... Which one do you prefe… https://t.co/APyvAqfaXb",0.85,Negative,-0.15000000000000002
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
RT @RampantFM: FIFA 18 | SENEGAL | #4 | WORLD CUP | ROUND OF 16 | ENGLAND https://t.co/Fx9WYWvnhp via @YouTube,0.4,Negative,-0.2
POLAND VS SENEGAL FIFA WORLD CUP 2018 REACTION: https://t.co/AwQiAeSPH3 via @YouTube,0.0,Negative,0.0
"RT @baris_kezer: In my opinion, together with Cüneyt Çakır, the two referees Alireza Faghani (Iran) and Malang Diedhiou (Senegal), who have…",0.0,Negative,0.0
Senegal's Football Federation wants to keep coach Aliou Cisse despite World Cup exit https://t.co/3HWOFuXyu6,0.1,Positive,0.2
RT @Arnabi20: @ground_guru The two best fans and teams in the world cup... Senegal and Japan... Both left all their games spotless https://…,0.15,Positive,0.5
"Everyone is equal when trying to sing along to the Polish national anthem using the TV’s subtitles mode, or working… https://t.co/cf6r38NJ0g",0.25,Negative,0.0
Senegal's Football Federation wants to keep coach Aliou Cisse despite World Cup exit https://t.co/CnawZKm3mv,0.1,Positive,0.2
RT @goal_ghana: Senegal's Football Federation wants to keep coach Aliou Cisse despite World Cup exit https://t.co/ZUzMGBJ11P https://t.co/a…,0.1,Positive,0.2
"RT @GTVerghese: France is The Only African Team Left In the World Cup.

Original country of origin  of France World Cup Players

1) Presnel…",0.4375,Positive,0.09375
"France is The Only African Team Left In the World Cup.

Original country of origin  of France World Cup Players

1)… https://t.co/CaEaV8zlpz",0.4375,Positive,0.09375
Senegal's Football Federation wants to keep coach Aliou Cisse despite World Cup exit - https://t.co/VXyQNBcmar,0.1,Positive,0.2
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
Watch Senegal’s 2018 FIFA World Cup™ matches in 90 seconds or less | 2018 FIFA World Cup™ https://t.co/7U9OpjHl4H https://t.co/FD1qIygbua,0.06666666666666667,Negative,-0.16666666666666666
Senegal’s 2018 World Cup failure – what went wrong? https://t.co/MIBIqPMpdd https://t.co/Z4Gm9kJSXl,0.6,Negative,-0.4083333333333333
Breaking news England are out of the Garden World Cup losing 3 1 to Senegal,0.0,Negative,0.0
"Senegal's Football Federation wants to keep coach Aliou Cisse despite World Cup exit
.
The 42-year-old former Seneg… https://t.co/x7cRq1YUO8",0.05,Positive,0.1
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
"World Cup 
Senegal &amp; Nigeria out of tourney
I guess I'm rooting for Bra....Eng....Switz...I don't know. 
But I will… https://t.co/95RrMzeGK6",0.0,Negative,0.0
RT @hallaboutafrica: Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play rul…,0.45,Positive,0.35
RT @GoalcomKenya: Senegal's Football Federation wants to keep coach Aliou Cisse despite World Cup exit https://t.co/E61mwYkn2M https://t.co…,0.1,Positive,0.2
RT @goal_ghana: Senegal's Football Federation wants to keep coach Aliou Cisse despite World Cup exit https://t.co/ZUzMGBJ11P https://t.co/a…,0.1,Positive,0.2
RT @okduet: Senegal’s Football Federation wants to keep coach Aliou Cisse despite World Cup exit https://t.co/nUubo0CcuI https://t.co/6DAII…,0.1,Positive,0.2
Should countries be eliminated from World Cup on the basis of yellow cards? FIFA is asked to re-evaluate Fair Play… https://t.co/zcCE6I5YkH,0.45,Positive,0.35
Senegal’s Football Federation wants to keep coach Aliou Cisse despite World Cup exit https://t.co/nUubo0CcuI https://t.co/6DAIIpHvjh,0.1,Positive,0.2
Senegal's Football Federation wants to keep coach Aliou Cisse despite World Cup exit https://t.co/ZUzMGBJ11P https://t.co/aQDCVWmSn2,0.1,Positive,0.2
