Tweet,Subjectivity,Label,Sentiment Polarity
World cup 2030: Algeria considering joint bid with Morocco and Tunisia: Algeria are… https://t.co/toyJeEm0l6,0.0,Negative,0.0
RT @AJEnglish: Algeria to consider submitting joint bid to host 2030 FIFA World Cup with Morocco and Tunisia https://t.co/gpbgM6oBH3 https:…,0.0,Negative,0.0
"Watch Spain vs Morocco Live 
    https://t.co/TsbhFFH2Mq",0.5,Positive,0.13636363636363635
"RT @RW_Crank: FYI, I told my Somali buddy at work the joke, ""Since Tunisia and Morocco are out of the World Cup, England and France are the…",0.0,Negative,0.0
"Morocco, Algeria and Tunisia should bid to host the 2030 World Cup - Middle East Eye https://t.co/kmbIfpMsWO",0.0,Negative,0.0
RT @AJEnglish: Algeria to consider submitting joint bid to host 2030 FIFA World Cup with Morocco and Tunisia https://t.co/gpbgM6oBH3 https:…,0.0,Negative,0.0
the world cup was fun before morocco got eliminated,0.2,Positive,0.3
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @AJENews: Algeria mulls joint 2030 FIFA World Cup bid with Morocco, Tunisia https://t.co/lOaaRHEGPq https://t.co/sUJk8DgX2h",0.0,Negative,0.0
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @RW_Crank: FYI, I told my Somali buddy at work the joke, ""Since Tunisia and Morocco are out of the World Cup, England and France are the…",0.0,Negative,0.0
RT @DcMBI: Olympiakos shirt vs Morocco World cup shirt. @adidasfootball you are really making fools out of yourselves. Shame on you. #Adida…,0.2,Positive,0.2
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"Could the 2030 World Cup be hosted by Morocco, Algeria and Tunisia? 
https://t.co/EGIxb7T5ZO",0.0,Negative,0.0
Olympiakos shirt vs Morocco World cup shirt. @adidasfootball you are really making fools out of yourselves. Shame o… https://t.co/PLAkbqYGrw,0.2,Positive,0.2
World cup 2030: Algeria considering joint bid with Morocco and Tunisia https://t.co/MyagfCUW7m https://t.co/j3KMOvO4qZ,0.0,Negative,0.0
World cup 2030: Algeria considering joint bid with Morocco and Tunisia https://t.co/tocoIZBTEm https://t.co/QjLiS3Zs5g,0.0,Negative,0.0
It’s basically the same  kit Morocco had for the World Cup. @adidas 🤭 https://t.co/hBmSbAW7Ss,0.125,Negative,0.0
"RT @AJENews: Algeria mulls joint 2030 FIFA World Cup bid with Morocco, Tunisia https://t.co/lOaaRHEGPq https://t.co/sUJk8DgX2h",0.0,Negative,0.0
"RT @DZFootball_en: Algeria consider bidding for the 2030 World Cup with Morocco and Tunisia:

https://t.co/YU3KF9AKwV",0.0,Negative,0.0
@EiCantona @mrraumdeuter Messi carried Argentina to a World Cup Final and three Copa America Finals you fool? Ronal… https://t.co/aiMvlVe6xI,1.0,Negative,0.0
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @MaghribFoot: Morocco World Cup 2018 | The Roar in Russia 📽

After 20 years of frustration and disappointment, Morocco finally returned…",0.7,Negative,-0.3
"RT @cnnsport: EXCLUSIVE: US goalkeeper Hope Solo does not back North America's 2026 World Cup bid, saying the tournament should go to a ""mo…",0.0,Negative,0.0
"RT @cnnsport: EXCLUSIVE: Hope Solo calls the US men's failure to qualify for Russia 2018 ""unacceptable but not surprising,"" arguing soccer…",0.4,Negative,-0.33333333333333337
