Tweet,Subjectivity,Label,Sentiment Polarity
@Parker1982Rob Need more world cup? Watch Argentinal-Chile in the #FifaWorldCup2018 qualifiers… https://t.co/t7PYghGErX,0.5,Positive,0.5
I added a video to a @YouTube playlist https://t.co/qKuuzI9rab The World Cup Of Wrestling - Japan Vs Australia - Episode 20 - WWE 2K18,0.0,Negative,0.0
The World Cup Of Wrestling - Japan Vs Australia - Episode 20 - WWE 2K18: https://t.co/qKuuzI9rab via @YouTube,0.0,Negative,0.0
World Cup day 21: @ITV audience peaked at 24.4 million for last night’s @England game. That’s almost the population… https://t.co/i19qPTPEjw,0.23333333333333334,Negative,-0.2
Coach ⁦@Kirby_Schepp⁩ has Team Canada 🇨🇦 peaking at the right time. Bring on Australia 🇦🇺 #BisonPride… https://t.co/SOsa3g2jKk,0.5357142857142857,Positive,0.2857142857142857
"RT @LAValiant: You'll also be seeing @Custa in the 2018 Overwatch World Cup, representing Australia! We know you'll make #VALLA proud! http…",1.0,Positive,1.0
"RT @nytimesworld: Morning Briefing, Asia/Australia Edition: What you need to know to start your day. https://t.co/BjJy161Wce",0.0,Negative,0.0
"RT: @nytimesworld :Morning Briefing, Asia/Australia Edition: What you need to know to start your day. https://t.co/hLrIWsEPo2",0.0,Negative,0.0
Nine players from the Gilas Pilipinas roster were ejected from the World Cup match-up against Australia after getti… https://t.co/o9Jq2CnZhJ,0.0,Negative,0.0
"RT @nytimesworld: Morning Briefing, Asia/Australia Edition: What you need to know to start your day. https://t.co/BjJy161Wce",0.0,Negative,0.0
"Morning Briefing, Asia/Australia Edition: What you need to know to start your day. https://t.co/BjJy161Wce",0.0,Negative,0.0
@premierleague Need more world cup? Watch Argentinal-Chile in the #FifaWorldCup2018 qualifiers… https://t.co/j9sDinm3Fe,0.5,Positive,0.5
"RT @LOFC08: Day Eleven of #LOFCworldcup

Shane Lowry

LOFC: Played for the O's at Right/Centre Back for the 2014/15 season. The first of tw…",0.16666666666666666,Positive,0.125
"Honestly thought balancing A Levels was hard but try watching Love Island UK, Love Island Australia and having the World Cup on",0.6604166666666667,Positive,0.32708333333333334
"Asia and Australia Edition: Thailand, Hong Kong, World Cup: Your Thursday Briefing: Here’s… https://t.co/R1zS0mLFvT",0.0,Negative,0.0
RT @SportsCenter: A HUGE brawl broke out between the Philippines and Australia teams in a FIBA World Cup qualifier. https://t.co/4jWWZAhVHb,0.9,Positive,0.4000000000000001
"RT @AnnaK_4ever: Also says ATP World Team Cup is a good idea logistically cos all players are there in Australia anyway and, most important…",0.55,Positive,0.6
"RT @AnnaK_4ever: Also says ATP World Team Cup is a good idea logistically cos all players are there in Australia anyway and, most important…",0.55,Positive,0.6
"Also says ATP World Team Cup is a good idea logistically cos all players are there in Australia anyway and, most im… https://t.co/FAIfktspLs",0.55,Positive,0.6
"Asia and Australia Edition: Thailand, Hong Kong, World Cup: Your Thursday Briefing https://t.co/9OcbYGgnSA https://t.co/hCUDA3vI4h",0.0,Negative,0.0
"@Localboy99 Watch Argentinal-Chile in the World Cup 2018 qualifiers
https://t.co/SmZ4YfCjbc
Australia-Thailand… https://t.co/kZPA7meBCW",0.0,Negative,0.0
"@76922a7cb74c454 Watch Argentinal-Chile in the World Cup 2018 qualifiers
https://t.co/SmZ4YfCjbc
Australia-Thailand… https://t.co/eIzWnhTfLZ",0.0,Negative,0.0
"@DjeeDeeBee Watch Argentinal-Chile in the World Cup 2018 qualifiers
https://t.co/SmZ4YfCjbc
Australia-Thailand… https://t.co/rjQ8LMdYbU",0.0,Negative,0.0
"@FIFAWorldCup Need more #worldcup? Argentinal-Chile in the World Cup 2018 qualifiers
https://t.co/SmZ4YfCjbc
Austra… https://t.co/1OwkQmP2zA",0.5,Positive,0.5
"Asia and Australia Edition: Thailand, Hong Kong, World Cup: Your Thursday Briefing https://t.co/6MRNPb6irX https://t.co/eZLmFYM3VC",0.0,Negative,0.0
RT @lTVSpurt: When Jonny Wilkinson's Drop Goal won England the Rugby World Cup in 2003 against Australia https://t.co/3uSOWxKpco,0.0,Negative,0.0
"Asia and Australia Edition: Thailand, Hong Kong, World Cup: Your Thursday Briefing https://t.co/a1OmbjZZNQ https://t.co/6sVbLpAg51",0.0,Negative,0.0
@FOXSoccer @AlexiLalas Futbol “El Tri” analysis: the experts knows that Osorio only had gas for the qualifiers CONC… https://t.co/lHzj70w1Xx,1.0,Negative,0.0
Australia assistant coach and former NBA star Luc Longley has accused Philippines head coach Chot Reyes of inciting… https://t.co/sZsH3vmzB6,0.0,Negative,0.0
"Asia and Australia Edition: Thailand, Hong Kong, World Cup: Your Thursday Briefing https://t.co/ONTVya7rpm",0.0,Negative,0.0
"Asia and Australia Edition: Thailand, Hong Kong, World Cup: Your Thursday Briefing https://t.co/FNTjJFHUr2 https://t.co/98E2IHZefA",0.0,Negative,0.0
"Asia and Australia Edition: Thailand, Hong Kong, World Cup: Your Thursday Briefing https://t.co/ttkBIDX5yo https://t.co/v0gzG8AyPn",0.0,Negative,0.0
