Tweet,Subjectivity,Label,Sentiment Polarity
"Russia Trounce Saudi Arabia 5-0 in the Opening Match of 2018 World Cup Finals
https://t.co/IeB02JKE3P",0.0,Negative,0.0
"Uruguay Beat Saudi Arabia 1-0 : Qualify for the Second Round of 2018 FIFA World Cup
https://t.co/VNAyk8pqw3",0.2,Negative,-0.1
RT @PlattsOil: Saudi Arabia wasn’t the only key energy player to take part in the #WorldCup. Our Moscow news editor Nastassia Astrasheuskay…,1.0,Negative,0.0
Watch Saudi Arabia’s 2018 FIFA World Cup™ matches in 90 seconds or less | 2018 FIFA World Cup™… https://t.co/edECgh4gcB,0.06666666666666667,Negative,-0.16666666666666666
@elie2222 @ArchieHenry2 @RavNorris @TRFCPRINGO @Troniq8 @SunnyChelsea14 @WCGoalz Russia is not good and it is certa… https://t.co/9IrpaFdArA,0.6000000000000001,Negative,-0.35
RT @IOnlySayFacts: Saudi Arabia really getting punished for their World Cup performance https://t.co/L0oU2jpIB3,0.2,Positive,0.2
RT @PlattsOil: Saudi Arabia wasn’t the only key energy player to take part in the #WorldCup. Our Moscow news editor Nastassia Astrasheuskay…,1.0,Negative,0.0
New post (Russia vs. Saudi Arabia: Team News Live Stream TV Info for World Cup 2018 | Blea...) has been published o… https://t.co/kTp58K0P5R,0.4772727272727273,Positive,0.13636363636363635
"RT @DrMarcusP: Whilst British mainstream media is going to great lengths to continue with politicising the World Cup in Russia, it delibera…",0.375,Positive,0.4
"Citizens of Saudi Arabia threw stones, Sticks and other substances to the Soccer team upon their arrival after they… https://t.co/MmqQNzhqZs",0.375,Negative,-0.125
"Morocco,Saudi Arabia,Egypt,Nigeria and Iran are all out of the World Cup. This proves that praying 5 times a day does absolutely fuck all.",0.3,Negative,-0.05000000000000002
RT @IOnlySayFacts: Saudi Arabia really getting punished for their World Cup performance https://t.co/L0oU2jpIB3,0.2,Positive,0.2
RT @IOnlySayFacts: Saudi Arabia really getting punished for their World Cup performance https://t.co/L0oU2jpIB3,0.2,Positive,0.2
"RT @king_adze: Man with the way this World Cup is going, the final might just be Saudi Arabia vs Peru",1.0,Negative,0.0
@I_BeNO0 Are Saudi Arabia even in the World Cup?,0.0,Negative,0.0
RT @PlattsOil: Saudi Arabia wasn’t the only key energy player to take part in the #WorldCup. Our Moscow news editor Nastassia Astrasheuskay…,1.0,Negative,0.0
Saudi Arabia wasn’t the only key energy player to take part in the #WorldCup. Our Moscow news editor Nastassia Astr… https://t.co/gwE5ZI3ATM,1.0,Negative,0.0
The same time saudi arabia takes to leave the world cup https://t.co/wMaH01h3af,0.125,Negative,0.0
