Tweet,Subjectivity,Label,Sentiment Polarity
There was huge drama in Kazan as reigning World Champions Germany were eliminated form the 2018 FIFA World Cup at t… https://t.co/8FMbVc2YCw,0.9,Positive,0.4000000000000001
79 Sweden v Korea Republic FIFA World Cup Russia E A Match: https://t.co/HB8Sq7kP4f via @YouTube,0.0,Negative,0.0
RT @SHlN_ee: NCT Dream - Trigger the fever (The Official of the FIFA U-20 World Cup Korea Republic Korea 2017) https://t.co/cpcH0miOGC,0.0,Negative,0.0
NCT Dream - Trigger the fever (The Official of the FIFA U-20 World Cup Korea Republic Korea 2017) https://t.co/cpcH0miOGC,0.0,Negative,0.0
New post (Korea Republic vs Iran (2018 FIFA World Cup Qualifiers)) has been published on Fifa World Cup -… https://t.co/aWYvZRk8V9,0.45454545454545453,Positive,0.13636363636363635
Korea Republic v Germany – 2018 FIFA World Cup Russia™ – Match 43_7 https://t.co/lEG5VlLTu4,0.0,Negative,0.0
"I choose the official song of the FIFA U-20 World Cup Korea Republic 2017, NCT DREAM's Trigger the Fever https://t.co/81hx6FTGj0",0.0,Negative,0.0
I liked a @YouTube video https://t.co/YAuwz4CNyy Korea Republic v Germany - 2018 FIFA World Cup Russia Match 1st.,0.8,Positive,0.6
Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43 https://t.co/rpEZ7WR93q @YouTubeより,0.0,Negative,0.0
Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43 https://t.co/20UTTFgju9 @YouTube 님이 공유,0.0,Negative,0.0
RT @OptaJohan: 2 - Lionel Messi is the first Argentinian player with two assists in a World Cup game since Diego Maradona in 1986 (v Korea…,0.3666666666666667,Negative,-0.07500000000000001
RT @OptaJohan: 2 - Lionel Messi is the first Argentinian player with two assists in a World Cup game since Diego Maradona in 1986 (v Korea…,0.3666666666666667,Negative,-0.07500000000000001
"Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43 https://t.co/LMRPeMtYGt @YouTube 님이 공유

#FIFA #FUTKR #EAcontest",0.0,Negative,0.0
Korea Republic vs Syria (2018 FIFA World Cup Qualifiers) https://t.co/0VSgndErXL https://t.co/kbzEXrBjxD,0.0,Negative,0.0
Bir @YouTube videosu beğendim: https://t.co/49BRQDXkPx Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43,0.0,Negative,0.0
Korea Republic vs Mexico FIFA World Cup 2018 (PS4) | FIFA 18 World Cup Update https://t.co/gDyxJqSFey https://t.co/rrIxUSVWmh,0.0,Negative,0.0
Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43 https://t.co/20UTTFgju9 @YouTube 님이 공유,0.0,Negative,0.0
I liked a @YouTube video https://t.co/NfwHCs3wDU Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43,0.8,Positive,0.6
I liked a @YouTube video https://t.co/tBebEVLlLl Korea Republic v Germany | Highlights | 2018 FIFA World Cup Russia™,0.8,Positive,0.6
RT @BarcaTimes: 📊[Opta] | Lionel Messi is the first player to provide two assists in a World Cup game for Argentina since Diego Maradona vs…,0.3666666666666667,Negative,-0.07500000000000001
RT @OptaJohan: 2 - Lionel Messi is the first Argentinian player with two assists in a World Cup game since Diego Maradona in 1986 (v Korea…,0.3666666666666667,Negative,-0.07500000000000001
I added a video to a @YouTube playlist https://t.co/EH4z9i9Iah Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43,0.0,Negative,0.0
Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43 https://t.co/nrmWdSExKo via @YouTube,0.0,Negative,0.0
Korea Republic v Mexico - 2018 FIFA World Cup Russia™ - Match 28 https://t.co/psgsXFiQFh via @YouTube,0.0,Negative,0.0
I liked a @YouTube video https://t.co/hBnTVRGE69 Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43,0.8,Positive,0.6
@omaakatugba I remember the player like Ann Ju Wang of Korea republic who took that world cup by storm. They were a delight to watch.,0.0,Negative,0.0
Alot of people didn't know this but Trigger The Fever was the official song for FIFA U-20 World Cup (Republic of Ko… https://t.co/hzUvJfDX22,0.0,Negative,0.0
Korea Republic vs Germany 2-0 • World Cup 2018 (27/06/2018) All Goals Hi... https://t.co/3IVxLzdHXw via @YouTube @southkorea,0.0,Negative,0.0
RT @Sportstown01: Lionel Messi is the first Argentinian player with two assists in a World Cup game since Diego Maradona in 1986 (v Korea R…,0.3666666666666667,Negative,-0.07500000000000001
RT @OptaJohan: 2 - Lionel Messi is the first Argentinian player with two assists in a World Cup game since Diego Maradona in 1986 (v Korea…,0.3666666666666667,Negative,-0.07500000000000001
I added a video to a @YouTube playlist https://t.co/zLhFG9TufE Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43,0.0,Negative,0.0
Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43 https://t.co/A7JUzTX9HN via @YouTube,0.0,Negative,0.0
I added a video to a @YouTube playlist https://t.co/fHP2gV9BJJ Highlight Sweden vs Republic of Korea Match * World Cup 2018** Football,0.0,Negative,0.0
"Korea Republic v Germany - 2018 FIFA World Cup Russia™ - Match 43
https://t.co/klpYJz2l8P",0.0,Negative,0.0
I have found the World Cup player who looks most like me: KIM MINWOO https://t.co/6Gtu1qn7q3,0.5,Positive,0.5
RT @titan_plus: Kim Young-gwon scored the winning goal for Korea Republic in the 90' to beat Germany. The 28-year-old Guangzhou Evergrande…,0.75,Positive,0.5
