Tweet,Subjectivity,Label,Sentiment Polarity
RT @Shuaeebs: @K1Says To gather Nigeria's fan support for France in winning the World Cup.. Lol,0.725,Positive,0.65
"RT @AllAfricanStyle: #SportNews

#Nigeria’s men basketball team D’Tigers beat #Uganda 110 – 70 on Saturday, in their fifth qualification ma…",0.0,Negative,0.0
"RT @BTLvid: After joining Stoke City, Oghenekaro Etebo emerged as the breakout star of Nigeria’s World Cup campaign. @deejayfaremi analyzes…",0.0,Negative,0.0
"RT @IsimaOdeh: Oliver Kahn said Nigerian football fans are too emotional and they overrate the Super Eagles, and they don't belong at the W…",0.6583333333333333,Positive,0.16666666666666666
New post (Croatia vs Nigeria - 2018 FIFA World Cup Russia™) has been published on Fifa World Cup -… https://t.co/5C0gvhVIFV,0.45454545454545453,Positive,0.13636363636363635
BBC Sport - World Cup 2018: Leon Balogun says Nigeria need to be 'dirtier' https://t.co/LlfMHQ8MWV,0.0,Negative,0.0
RT @nytimes: John Obi Mikel of Nigeria played in his team’s final World Cup match hours after learning his father had been kidnapped https:…,1.0,Negative,0.0
@K1Says To gather Nigeria's fan support for France in winning the World Cup.. Lol,0.725,Positive,0.65
A Fashion Expert and a Soccer Expert Had a Conversation About World Cup Kits  https://t.co/ksd199GQ5t #NYT #soccerblog,0.0,Negative,0.0
"RT @USATODAY: Nigeria soccer captain John Obi Mikel revealed that kidnappers abducted and threatened to murder his father, hours before the…",0.0,Negative,0.0
RT @AfricanYardie: Ghana’s World Cup Kit (2014) vs Nigeria’s World Cup Kit (2018)... who’s was better ? RT for Ghana &amp; Like for 🇳🇬 https://…,0.5,Positive,0.5
"RT @PoojaMedia: As we wait for the next stage of the World Cup to start on Friday, let's refresh our memories on some of the best goals so…",0.15,Positive,0.5
RT @DatUncleOfYours: Macron went to Nigeria to tell Africans to move forward from Colonialism whilst the French still dictate macroeconomic…,0.0,Negative,0.0
"@Football_Naija He's right about that, but it's a challenge for us to prove him wrong. Meanwhile he should be remin… https://t.co/yLK9XznjXp",0.7178571428571429,Negative,-0.10714285714285715
RT @ColinUdoh: INCREDIBLE: How @mikel_john_obi played against Argentina with the trauma of knowing his father had been kidnapped and could…,0.9,Positive,0.9
"Nigeria captain hid father's abduction, played World Cup match | CBC Sports https://t.co/HPTHEgmlk8",0.0,Negative,0.0
"RT @AlexShawESPN: Incredible story by @ColinUdoh - John Obi Mikel faced Argentina with Nigeria, at the same time knowing his father was bei…",0.5125,Positive,0.45
"RT @Football_Naija: One of the young stars of the ongoing 2018 World Cup, Manuel Akanji (22), has disclosed that he was never contacted by…",0.4,Positive,0.1
"RT @USATODAY: Nigeria soccer captain John Obi Mikel revealed that kidnappers abducted and threatened to murder his father, hours before the…",0.0,Negative,0.0
"Nigeria captain hid dad's abduction, played World Cup match https://t.co/ArCzASqKoy #FoxNews
Imagine that, he was r… https://t.co/0shi7eAP9U",0.0,Negative,0.0
"RT @Adebbi: “If I’m gonna flop at the World Cup, imma make it look sexy.” - Nigeria, 2018",1.0,Positive,0.5
World Cup 2018: John Mikel Obi calls for greater security in Nigeria following father's kidnapping… https://t.co/kKxHivYm3L,0.3,Positive,0.25
"2018 List of Nigerian cookout Topics:
1. NBA is boring now. 
2. Nigeria’s performance at the World Cup
3. Nigeria’s… https://t.co/04aMdBC7k1",1.0,Negative,-1.0
"RT @SolaEgunjobi: Egypt crash out of World Cup. Hundreds flock to Salah’s house. He comes out to mingle and sign autographs.
 
Nigeria need…",0.0,Negative,0.0
"RT @Football_Naija: One of the young stars of the ongoing 2018 World Cup, Manuel Akanji (22), has disclosed that he was never contacted by…",0.4,Positive,0.1
"RT @Football_Naija: One of the young stars of the ongoing 2018 World Cup, Manuel Akanji (22), has disclosed that he was never contacted by…",0.4,Positive,0.1
"RT @NYTSports: Hours before a crucial match with Argentina, Nigeria's captain learned his father had been kidnapped https://t.co/8RGg2iwN7a",1.0,Negative,0.0
"Can you imagine One of the young stars of the ongoing 2018 World Cup, Manuel Akanji (22) is a nigerian by nigeria f… https://t.co/uG0Vy5Deqi",0.4,Positive,0.1
"RT @BTLvid: After joining Stoke City, Oghenekaro Etebo emerged as the breakout star of Nigeria’s World Cup campaign. @deejayfaremi analyzes…",0.0,Negative,0.0
"Top story: Nigeria Captain Played Key World Cup Match Hours After Learning His … https://t.co/4K09esp8c5, see more https://t.co/G8nqNTNPyB",0.6666666666666666,Positive,0.3333333333333333
Check out Nike Nigeria Soccer Naija Tribute Joggers Pants World Cup 2018 AH7887-010 SMALL  https://t.co/rRrNK7pKF7 via @eBay,0.4,Negative,-0.25
"RT @ESPNFC: Nigeria captain John Obi Mikel played against Argentina knowing his father was being held for ransom.

Pa Michael Obi was rescu…",0.0,Negative,0.0
RT @NGfooty: Mikel: My father was kidnapped few hours before Nigeria v Argentina game https://t.co/0fCGUeDuC2 #WorldCup #SuperEagles https:…,0.25,Negative,-0.30000000000000004
"Top story: Nigeria Captain Played Key World Cup Match Hours After Learning His … https://t.co/7M2LPPU0gu, see more https://t.co/OrqM36skTU",0.6666666666666666,Positive,0.3333333333333333
"Top story: Nigeria Captain Played Key World Cup Match Hours After Learning His … https://t.co/HLeG9rPvSZ, see more https://t.co/BIfdMhkKnQ",0.6666666666666666,Positive,0.3333333333333333
"Top story: Nigeria Captain Played Key World Cup Match Hours After Learning His … https://t.co/6a6yGNrOQg, see more https://t.co/vcRjMK4FjD",0.6666666666666666,Positive,0.3333333333333333
"Russia 2018: Leon Balogun says Nigeria need to play ‘dirtier

https://t.co/nqMxSzMo2m",0.0,Negative,0.0
Ooh you have no idea! Nigeria and Africa will forever cheer the French Team. #TeamFrance #France is best favoured t… https://t.co/AQejl8kGxM,0.15,Positive,0.5
"RT @Football_Naija: One of the young stars of the ongoing 2018 World Cup, Manuel Akanji (22), has disclosed that he was never contacted by…",0.4,Positive,0.1
Willian warns Hazard as Chelsea teammates prepare to clash at World Cup — Sport — The Guardian Nigeria New READ MORE https://t.co/6F9Rp7WLoM,0.4772727272727273,Positive,0.3181818181818182
